33	2047	1	"Oakland"	"Delta Flight 4799 To LAX"	Travel & Transport::Airport	37.7099405416354	-122.212489853
33	2047	1	"Oakland"	"gate 23 OAK"	Travel & Transport::Airport::Airport Gate	37.711297	-122.212279
33	2047	1	"Oakland"	"Oakland Airport Pick Up"	Travel & Transport::Airport	37.7174045928938	-122.20760223521053
33	2047	1	"Oakland"	"Starbucks"	Food::Coffee Shop	37.7103067668807	-122.212235927582
33	2047	1	"Oakland"	"Gate 12"	Travel & Transport::Airport::Airport Gate	37.7105995928905	-122.216151952744
33	2047	1	"Oakland"	"Security Checkpoint 2"	Travel & Transport::Airport::Airport Terminal	37.71137685679276	-122.21174730412193
33	2047	1	"Oakland"	"Park & Call Lot"	Professional & Other Places::Parking	37.717266376337655	-122.20745086669922
33	2047	1	"Oakland"	"California Pizza Kitchen"	Food::Pizza Place	37.709629745358264	-122.21248431160966
33	2047	1	"Oakland"	"Bayfront News"	Shop & Service::Convenience Store	37.71022216642547	-122.21272259114095
33	2047	1	"Oakland"	"Southwest Airlines"	Travel & Transport::Airport::Airport Terminal	37.71136	-122.212368
33	2047	1	"Oakland"	"Terminal 2"	Travel & Transport::Airport::Airport Terminal	37.71132528714515	-122.2117531299591
33	2047	1	"Oakland"	"Gate 25"	Travel & Transport::Airport::Airport Gate	37.711011244889704	-122.21203207969666
33	2047	1	"Oakland"	"Burger King"	Food::Burger Joint	37.710994269594735	-122.21192479133606
33	2047	1	"Oakland"	"Oakland Airport Runway"	Travel & Transport::Airport::Plane	37.712796	-122.212907
33	2047	1	"Oakland"	"Gordon Biersch Brewery Restaurant"	Food::Brewery	37.70948345276874	-122.21237540245056
33	2047	1	"Oakland"	"OAK Gate 28"	Travel & Transport::Airport::Airport Gate	37.710389	-122.21239686012268
33	2047	1	"Oakland"	"Gate 7"	Travel & Transport::Airport::Airport Gate	37.711427138401646	-122.21569061279297
33	2047	1	"Oakland"	"Auntie Anne's Pretzels"	Food::Snack Place	37.70978052592577	-122.21199989318848
33	2047	1	"Oakland"	"Oakland	Outdoors & Recreation::Other Great Outdoors	37.71218406050244	-122.21180825982084
33	2047	1	"Oakland"	"Oaklandish"	Shop & Service::Clothing Store::Boutique	37.710488692711024	-122.21205762368234
33	2047	1	"Oakland"	"United Parcel Service - Oakland International Airport"	Professional & Other Places::Building	37.716416288063556	-122.21476179893126
33	2047	1	"Oakland"	"Gate 28"	Travel & Transport::Airport::Airport Gate	37.70952164795563	-122.21248269081116
33	2047	1	"Oakland"	"Fenton's Creamery"	Food::Ice Cream Shop	37.709508916228835	-122.21232175827026
33	2047	1	"Oakland"	"Gate 27"	Travel & Transport::Airport::Airport Gate	37.70984842819444	-122.21219837665558
