city,index_within_city,venue_cat,correctCategoryPredictionProb,predictedCategory,isPredictedCategoryCorrect,inTopTen,correctLocationPredictionProb,predictedLocation,isPredictedLocationCorrect
1,169,244.0,0.0036496350364963485,0.0,0,0,0.0,0.0,0
0,2933,67.0,0.005930656934306565,0.0,0,0,0.0,0.0,0
1,1134,153.0,0.002889294403892943,0.0,0,0,0.0,0.0,0
0,1840,92.0,0.022810218978102165,0.0,0,1,0.0,0.0,0
0,1202,239.0,0.017183698296836965,0.0,0,1,0.0,0.0,0
1,2155,134.0,0.0010644768856447689,0.0,0,0,0.0,0.0,0
0,3725,184.0,4.562043795620438E-4,0.0,0,0,0.0,0.0,0
1,670,73.0,0.004866180048661797,0.0,0,0,0.0,0.0,0
1,2356,59.0,0.004257907542579073,0.0,0,0,0.0,0.0,0
0,1494,320.0,0.0080596107055961,0.0,0,0,0.0,0.0,0
0,2846,289.0,1.5206812652068127E-4,0.0,0,0,0.0,0.0,0
0,2379,84.0,0.009580291970802911,0.0,0,0,0.0,0.0,0
0,2170,173.0,0.005170316301703159,0.0,0,0,0.0,0.0,0
0,1652,259.0,0.023722627737226252,0.0,0,1,0.0,0.0,0
1,173,236.0,0.0012165450121654502,0.0,0,0,0.0,0.0,0
1,875,72.0,0.0038017031630170296,0.0,0,0,0.0,0.0,0
0,2753,304.0,0.005170316301703159,0.0,0,0,0.0,0.0,0
0,733,230.0,0.015358880778588792,0.0,0,1,0.0,0.0,0
1,1063,414.0,0.0013686131386861315,0.0,0,0,0.0,0.0,0
0,2063,41.0,0.003953771289537711,0.0,0,0,0.0,0.0,0
1,1719,49.0,0.015510948905109474,0.0,0,1,0.0,0.0,0
0,206,229.0,0.0019768856447688566,0.0,0,0,0.0,0.0,0
1,2369,335.0,0.006082725060827246,0.0,0,0,0.0,0.0,0
0,1332,162.0,0.0038017031630170296,0.0,0,0,0.0,0.0,0
0,914,21.0,0.0019768856447688566,0.0,0,0,0.0,0.0,0
0,2997,84.0,0.009580291970802911,0.0,0,0,0.0,0.0,0
1,1897,98.0,0.0012165450121654502,0.0,0,0,0.0,0.0,0
0,1182,304.0,0.005170316301703159,0.0,0,0,0.0,0.0,0
1,687,40.0,0.014446472019464706,0.0,0,1,0.0,0.0,0
0,1023,239.0,0.017183698296836965,0.0,0,1,0.0,0.0,0
0,822,24.0,0.001672749391727494,0.0,0,0,0.0,0.0,0
1,910,259.0,0.023722627737226252,0.0,0,1,0.0,0.0,0
1,766,111.0,0.010340632603406317,0.0,0,0,0.0,0.0,0
1,459,259.0,0.023722627737226252,0.0,0,1,0.0,0.0,0
1,2408,245.0,4.562043795620438E-4,0.0,0,0,0.0,0.0,0
1,2203,70.0,0.03163017031630167,0.0,0,1,0.0,0.0,0
0,148,241.0,0.0024330900243309,0.0,0,0,0.0,0.0,0
1,825,40.0,0.014446472019464706,0.0,0,1,0.0,0.0,0
1,236,2.0,0.0033454987834549864,0.0,0,0,0.0,0.0,0
1,1974,123.0,0.0018248175182481753,0.0,0,0,0.0,0.0,0
0,3270,263.0,0.007299270072992694,0.0,0,0,0.0,0.0,0
0,1154,95.0,0.013990267639902663,0.0,0,0,0.0,0.0,0
1,724,297.0,4.562043795620438E-4,0.0,0,0,0.0,0.0,0
1,726,159.0,0.008363746958637463,0.0,0,0,0.0,0.0,0
1,1297,188.0,0.009124087591240868,0.0,0,0,0.0,0.0,0
1,928,112.0,0.004866180048661797,0.0,0,0,0.0,0.0,0
0,1680,259.0,0.023722627737226252,0.0,0,1,0.0,0.0,0
0,4102,132.0,0.0015206812652068127,0.0,0,0,0.0,0.0,0
1,2010,256.0,0.0,0.0,0,0,0.0,0.0,0
0,512,22.0,0.011405109489051084,0.0,0,0,0.0,0.0,0
