city,index_within_city,venue_cat,correctCategoryPredictionProb,predictedCategory,isPredictedCategoryCorrect,inTopTen,correctLocationPredictionProb,predictedLocation,isPredictedLocationCorrect
0,1200,279.0,0.0019097636667462401,0.0,0,0,0.0,0.0,0
0,1756,335.0,0.0047744091668656015,0.0,0,0,0.0,0.0,0
1,1702,70.0,0.02471721826560533,0.0,0,1,0.0,0.0,0
0,2121,296.0,0.0011936022917164002,0.0,0,0,0.0,0.0,0
0,4172,85.0,4.7744091668656003E-4,0.0,0,0,0.0,0.0,0
0,1690,212.0,7.161613750298401E-4,0.0,0,0,0.0,0.0,0
0,2179,215.0,0.0026259250417760803,0.0,0,0,0.0,0.0,0
0,2985,168.0,4.7744091668656003E-4,0.0,0,0,0.0,0.0,0
1,604,293.0,0.0016757436112274822,0.0,0,0,0.0,0.0,0
1,2002,105.0,0.005865102639296188,0.0,0,0,0.0,0.0,0
0,3625,290.0,0.008832656958701364,0.0,0,0,0.0,0.0,0
0,2378,92.0,0.023633325375984754,0.0,0,1,0.0,0.0,0
1,1020,152.0,0.011311269375785499,0.0,0,0,0.0,0.0,0
0,2561,40.0,0.012413463833850558,0.0,0,0,0.0,0.0,0
0,1038,19.0,4.7744091668656003E-4,0.0,0,0,0.0,0.0,0
1,506,148.0,0.010892333472978629,0.0,0,0,0.0,0.0,0
0,3918,303.0,7.161613750298401E-4,0.0,0,0,0.0,0.0,0
1,1325,152.0,0.011311269375785499,0.0,0,0,0.0,0.0,0
1,1991,120.0,0.013824884792626717,0.0,0,0,0.0,0.0,0
0,11,269.0,0.0019097636667462401,0.0,0,0,0.0,0.0,0
1,255,43.0,0.003770423125261835,0.0,0,0,0.0,0.0,0
1,586,49.0,0.020108923334729762,0.0,0,1,0.0,0.0,0
0,1086,22.0,0.009548818333731203,0.0,0,0,0.0,0.0,0
0,4076,299.0,0.01121986154213416,0.0,0,0,0.0,0.0,0
1,1998,131.0,0.0041893590280687055,0.0,0,0,0.0,0.0,0
0,2324,239.0,0.020052518500835535,0.0,0,1,0.0,0.0,0
0,1857,113.0,0.004535688708522321,0.0,0,0,0.0,0.0,0
1,383,136.0,0.0016757436112274822,0.0,0,0,0.0,0.0,0
1,517,243.0,0.005027230833682447,0.0,0,0,0.0,0.0,0
0,1910,238.0,0.008355216042014805,0.0,0,0,0.0,0.0,0
1,760,71.0,0.018433179723502283,0.0,0,1,0.0,0.0,0
0,2698,71.0,0.010264979708761042,0.0,0,0,0.0,0.0,0
1,102,148.0,0.010892333472978629,0.0,0,0,0.0,0.0,0
1,98,33.0,0.008378718056137411,0.0,0,0,0.0,0.0,0
0,189,183.0,4.7744091668656003E-4,0.0,0,0,0.0,0.0,0
1,710,113.0,0.003770423125261835,0.0,0,0,0.0,0.0,0
1,2334,150.0,0.00879765395894428,0.0,0,0,0.0,0.0,0
0,2725,92.0,0.023633325375984754,0.0,0,1,0.0,0.0,0
0,354,245.0,2.3872045834328001E-4,0.0,0,0,0.0,0.0,0
1,1242,49.0,0.020108923334729762,0.0,0,1,0.0,0.0,0
1,2170,414.0,0.0025136154168412233,0.0,0,0,0.0,0.0,0
1,1769,108.0,0.005865102639296188,0.0,0,0,0.0,0.0,0
1,499,246.0,0.008378718056137411,0.0,0,0,0.0,0.0,0
1,1676,95.0,0.017595307917888544,0.0,0,1,0.0,0.0,0
1,1007,26.0,0.012568077084206108,0.0,0,0,0.0,0.0,0
0,2081,239.0,0.020052518500835535,0.0,0,1,0.0,0.0,0
0,3021,320.0,0.0107424206254476,0.0,0,0,0.0,0.0,0
1,1087,205.0,0.002932551319648094,0.0,0,0,0.0,0.0,0
0,425,8.0,0.010503700167104321,0.0,0,0,0.0,0.0,0
1,1402,234.0,0.011730205278592368,0.0,0,0,0.0,0.0,0
