Table 39 Count 1 :	[1519]
Table 1394 Count 10 :	[2640, 494, 1989, 218, 1205, 886, 1615, 2412, 1513, 1394]
Table 1416 Count 101 :	[3828, 2196, 552, 19, 3809, 18, 21, 23, 3813, 27, 26, 1135, 518, 309, 3567, 2224, 1867, 534, 1859, 2214, 1025, 73, 1301, 894, 323, 873, 2785, 632, 108, 3503, 1335, 1320, 2286, 836, 1084, 1801, 366, 125, 124, 3516, 3028, 687, 138, 953, 2850, 1764, 678, 949, 3159, 677, 1501, 2597, 155, 1473, 159, 2331, 2328, 693, 1480, 388, 1254, 3437, 442, 1251, 2100, 2107, 435, 2109, 3427, 426, 3449, 3934, 2834, 1276, 2844, 663, 3171, 1018, 3886, 2917, 3328, 1978, 2119, 2935, 2384, 3893, 752, 1967, 1416, 3621, 3075, 3888, 996, 1943, 509, 3373, 506, 2403, 2170, 1202, 487]
Table 1518 Count 84 :	[4131, 1494, 2989, 1915, 1372, 544, 2309, 4070, 1229, 3153, 2078, 1475, 2190, 145, 2602, 2334, 1894, 2332, 3672, 3675, 3913, 1402, 2830, 2347, 527, 166, 3426, 2945, 3321, 2702, 4049, 2494, 4053, 1617, 3580, 541, 1518, 1138, 2487, 3053, 751, 1699, 475, 2506, 3103, 2381, 1162, 1977, 3047, 344, 80, 2666, 3345, 1722, 2791, 2541, 578, 101, 1820, 2780, 3850, 852, 2646, 979, 3496, 1813, 3009, 976, 977, 3366, 3603, 1197, 104, 378, 1686, 3032, 3509, 3594, 3512, 2159, 3376, 2156, 367, 3030]
Table 1524 Count 35 :	[747, 136, 1975, 1020, 3872, 3873, 404, 627, 1957, 1478, 399, 1417, 2126, 331, 1481, 1524, 1405, 3199, 3559, 3490, 519, 1527, 4043, 645, 3982, 383, 2351, 2149, 1924, 1505, 2696, 1204, 4189, 661, 662]
Table 1589 Count 59 :	[1374, 3951, 3699, 135, 1772, 1910, 1896, 700, 698, 699, 4151, 2463, 4148, 4155, 3275, 3436, 2002, 1525, 4037, 3435, 2951, 1603, 3670, 3573, 2700, 1748, 1749, 52, 297, 421, 3647, 3101, 1849, 4194, 2265, 4192, 2382, 3878, 349, 348, 893, 346, 2658, 3207, 1713, 1589, 3616, 210, 999, 4164, 2405, 4167, 1946, 3115, 489, 4178, 840, 3105, 480]
Table 1616 Count 10 :	[1883, 3673, 3352, 3571, 3466, 1228, 1616, 301, 3484, 1826]
Table 1706 Count 11 :	[1598, 712, 4067, 1005, 1803, 2222, 1922, 1069, 1054, 2578, 1706]
Table 1785 Count 116 :	[2440, 2745, 828, 1632, 2439, 1088, 2976, 3837, 1115, 1660, 3537, 2996, 4152, 2724, 1611, 3314, 3807, 2491, 2495, 540, 1618, 2208, 1376, 4063, 61, 2690, 614, 4003, 4002, 1296, 1842, 624, 3744, 4028, 875, 88, 878, 374, 1546, 2783, 584, 3497, 2532, 3015, 1334, 593, 4181, 1564, 3719, 3511, 3998, 843, 956, 683, 2037, 2041, 3938, 2042, 2863, 132, 3155, 134, 3690, 2865, 1232, 2866, 144, 1785, 3138, 2583, 2577, 648, 2817, 1734, 3191, 1532, 3431, 3656, 1508, 187, 185, 908, 3450, 178, 3175, 3442, 2133, 204, 3336, 739, 738, 468, 2686, 763, 2937, 3344, 758, 3350, 756, 1187, 986, 1462, 719, 1463, 1676, 1674, 710, 1442, 3592, 1444, 2419, 972, 2900, 485, 2906, 2909]
Table 1953 Count 1 :	[3708]
Table 1995 Count 2 :	[1805, 3054]
Table 2000 Count 14 :	[2000, 579, 2434, 315, 3742, 3295, 497, 4010, 804, 1839, 2847, 2786, 2183, 1420]
Table 2005 Count 31 :	[3052, 613, 1026, 2806, 1837, 1477, 1171, 3420, 3902, 2731, 262, 3346, 3211, 2878, 3136, 1547, 2005, 2346, 502, 1057, 795, 2291, 4110, 1511, 2627, 1266, 1145, 3514, 841, 2568, 1929]
Table 2025 Count 26 :	[2991, 2914, 1161, 3639, 621, 2457, 263, 1176, 2025, 634, 329, 2788, 3914, 3250, 1669, 1400, 3194, 1399, 160, 4046, 1987, 4180, 358, 1269, 1327, 1141]
Table 2053 Count 4 :	[3200, 2823, 3530, 3169]
Table 2062 Count 24 :	[1032, 2165, 1103, 1612, 2507, 1664, 1579, 1904, 3838, 3045, 1302, 2773, 345, 1658, 492, 1081, 81, 2765, 1662, 694, 245, 1240, 2841, 2062]
Table 2174 Count 105 :	[2444, 3293, 2980, 831, 2740, 3836, 1901, 4093, 305, 1610, 2227, 1601, 4107, 314, 1878, 2218, 2973, 2493, 3583, 1620, 1622, 777, 4005, 1853, 1311, 885, 3463, 1037, 1309, 1038, 1039, 2800, 2263, 1570, 892, 1568, 322, 4018, 1292, 1293, 82, 95, 2240, 858, 3741, 857, 2534, 3979, 3500, 2288, 3034, 594, 355, 3037, 1312, 3726, 1794, 2853, 686, 2854, 1760, 140, 2068, 143, 955, 1499, 2858, 3960, 394, 2322, 1237, 701, 384, 2336, 1729, 1270, 3448, 2832, 1752, 2572, 2846, 3441, 183, 1158, 221, 1169, 1716, 1007, 3624, 754, 753, 3132, 718, 2174, 3361, 1467, 228, 982, 1675, 2148, 253, 3865, 244, 2910, 727]
Table 2215 Count 136 :	[2443, 1101, 1102, 2748, 2447, 3281, 2445, 1634, 3533, 2982, 4141, 1637, 3006, 1356, 564, 2460, 2191, 1650, 2181, 2455, 2959, 1882, 4032, 1887, 787, 2239, 3326, 2708, 3572, 1629, 4055, 2969, 783, 1382, 2215, 3048, 2271, 4202, 3201, 84, 3066, 83, 3482, 1588, 1587, 1586, 3489, 1540, 2772, 1537, 1809, 1060, 2763, 3038, 1563, 4179, 598, 601, 600, 2549, 2755, 2550, 2545, 2065, 2064, 1217, 3403, 2039, 2314, 3157, 2315, 3156, 2312, 676, 675, 674, 2316, 3701, 1776, 2019, 2592, 3683, 934, 2098, 1731, 2582, 922, 923, 921, 1533, 2106, 1736, 3189, 2828, 2111, 1267, 902, 3172, 3652, 2094, 420, 3655, 422, 3339, 1969, 1970, 1013, 3875, 3628, 1408, 2112, 1965, 2396, 2121, 209, 449, 3349, 1182, 1720, 1191, 2175, 1948, 1192, 503, 1949, 1199, 1196, 3119, 1682, 1683, 2418, 246, 2633, 3861, 1451, 1214]
Table 2256 Count 37 :	[1763, 3097, 1854, 3166, 1430, 1845, 1160, 2256, 2118, 2254, 1777, 1476, 2113, 3479, 2176, 1178, 1241, 2394, 1183, 2167, 3612, 2543, 4100, 2829, 1879, 2824, 3261, 1864, 3232, 2628, 1561, 1692, 2757, 1999, 1272, 1077, 2908]
Table 2260 Count 18 :	[4199, 2033, 611, 4130, 510, 1918, 2260, 1951, 2983, 3879, 3845, 2225, 2736, 223, 3072, 1649, 1784, 2600]
Table 2289 Count 3 :	[3707, 2103, 3549]
